,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,playlist_name,duration_s
38,Drake,Views,Keep The Family Close,7sBwAWyXfiIgrYQ8BaJESH,0.378,0.566,9,-7.685,0,0.0482,0,0.382,0.196,87.691,328907,3,0.149,59.0,Purple,328.907
39,Drake,Views,9,1C7KSXR2GVxknex6I4ANco,0.68,0.712,10,-7.184,1,0.0453,0.000612,0.237,0.0379,100.009,255787,4,0.000803,62.0,Purple,255.787
40,Ab-Soul,Control System,The Book of Soul,1to4zsRWRjzbRGcBSvEQsm,0.522,0.654,11,-7.14,0,0.322,0,0.207,0.508,77.74,310637,3,0.701,38.0,Purple,310.637
41,alt-J,3WW,3WW,65lTO69QCwDl3EmgU3eGKv,0.634,0.139,2,-15.102,1,0.0533,0.036,0.0612,0.158,78.053,300427,4,0.679,21.0,Purple,300.427
42,Broken Bells,After the Disco,Leave It Alone,7uLpd43d2fKFDUD3IyXeAi,0.499,0.444,1,-8.749,1,0.026,0.00348,0.122,0.484,141.987,330853,4,0.641,40.0,Purple,330.853
43,Broken Bells,After the Disco,The Angel and the Fool,0fd0506d5oBAQDyBF6TZ05,0.597,0.323,5,-11.992,1,0.039,0.828,0.0799,0.358,75.006,195080,4,0.613,42.0,Purple,195.08
44,Broken Bells,It's That Talk Again,It's That Talk Again,5C8Vwr9o1WtsoDVPFqPCob,0.659,0.758,0,-6.424,1,0.0448,8.79e-05,0.0822,0.562,122.945,241333,4,0.0502,54.0,Purple,241.333
45,Childish Gambino,Redbone,Redbone,47l9wxr6RwgoTSfnseBRcf,0.747,0.378,1,-10.454,1,0.109,0.0173,0.119,0.565,160.049,326880,4,0.195,0.0,Purple,326.88
46,Dispatch,"America, Location 12",Curse + Crush,6IBtc1I5rFQ6mz6CwzC1fI,0.58,0.64,0,-7.493,1,0.0386,1.35e-05,0.0829,0.374,80.006,258693,4,0.276,41.0,Purple,258.693
47,The Doors,L.A. Woman,Riders on the Storm,14XWXWv5FoCbFzLksawpEe,0.55,0.722,11,-11.729,0,0.0283,0.0129,0.11,0.716,103.886,434720,4,0.25,74.0,Purple,434.72
48,Drake,More Life,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,0.766,0.283,8,-10.33,0,0.0846,0.0172,0.115,0.144,97.04,219692,4,0.111,77.0,Purple,219.692
49,Frank Ocean,Blonde,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.544,0.552,9,-7.45,1,0.0991,4.57e-05,0.415,0.554,159.738,184516,3,0.67,79.0,Purple,184.516
50,Frank Ocean,channel ORANGE,Crack Rock,5lcyIeEfwZTs8Ajw3kdF7P,0.429,0.736,5,-8.017,1,0.222,0,0.0852,0.379,89.262,224147,4,0.0696,60.0,Purple,224.147
51,Frank Ocean,Provider,Provider,6R6ihJhRbgu7JxJKIbW57w,0.654,0.325,2,-11.925,1,0.282,2.14e-05,0.152,0.39,139.886,243238,4,0.74,65.0,Purple,243.238
52,Grizzly Bear,Painted Ruins,Wasted Acres,0IvQCuL8N4158edtz98LCL,0.499,0.397,7,-9.334,0,0.0263,0.062,0.1,0.12,134.967,172160,4,0.342,39.0,Purple,172.16
53,Grizzly Bear,Three Rings,Three Rings,5wbFt2XpA1S170iDSbC2wX,0.502,0.871,11,-6.128,0,0.0521,0.58,0.0733,0.14,109.414,288320,3,0.00981,24.0,Purple,288.32
54,Hippie Sabotage,Options EP,Options,2CWWx7H3QDvJ9KxrmQE9nc,0.411,0.523,11,-11.786,1,0.241,9.08e-06,0.293,0.205,144.738,220727,4,0.782,0.0,Purple,220.727
55,Hippie Sabotage,Providence,Devil Eyes,6R9WRj1AX9IkafufRAbaQB,0.391,0.396,1,-8.621,0,0.189,0.405,0.315,0.199,99.112,131272,5,0.702,0.0,Purple,131.272
56,Kendrick Lamar,DAMN.,FEAR.,23luOrEVHMfoX0AhfbQuS6,0.588,0.479,1,-7.039,1,0.281,7.2e-06,0.527,0.434,150.414,460573,4,0.604,65.0,Purple,460.573
57,Kendrick Lamar,DAMN.,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,0.665,0.535,4,-7.056,0,0.0572,1.68e-05,0.154,0.37,138.842,275253,4,0.0786,75.0,Purple,275.253
58,J. Cole,KOD,Once an Addict - Interlude,0Px86mRlxdB3YqpK6KXWlr,0.623,0.473,8,-8.336,1,0.461,0,0.119,0.138,84.066,197822,4,0.626,55.0,Purple,197.822
59,A$AP Rocky,TESTING,CALLDROPS (feat. Kodak Black),1wGYcpJZ59rePkNu4zHmLu,0.514,0.403,5,-11.101,1,0.128,0.051,0.136,0.463,127.818,162373,4,0.897,54.0,Purple,162.373
60,Gnarls Barkley,The Odd Couple,Who's Gonna Save My Soul - Original Mix,4qiBDlMzW2vTK8dJKw7xD3,0.806,0.604,10,-8.532,0,0.062,0.000138,0.0948,0.604,85.002,195467,4,0.211,44.0,Purple,195.467
61,Loma,Black Willow,Black Willow - Single Version,7sljgxqi3fK5vmV7t2St1l,0.666,0.339,3,-9.698,0,0.0253,0.014,0.114,0.315,139.956,239458,4,0.852,0.0,Purple,239.458
62,Mac Miller,Self Care,Self Care,4c00fD972rl8ubRxZnyI2B,0.52,0.538,1,-8.109,1,0.206,0.00187,0.119,0.177,141.894,345133,4,0.367,48.0,Purple,345.133
63,Mac Miller,The Divine Feminine,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",6hzbRKhJHo6cfCHSnNaDS8,0.467,0.41,2,-12.028,1,0.185,4.28e-05,0.113,0.136,95.931,500960,4,0.328,64.0,Purple,500.96
64,Mac Miller,Swimming,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,0.69,0.462,8,-8.054,1,0.13,0.00218,0.113,0.325,157.655,245640,4,0.343,71.0,Purple,245.64
65,Mac Miller,Swimming,Wings,16umSNZfofRpDqTvf8DIAo,0.656,0.33,8,-8.771,1,0.162,0.00386,0.107,0.349,119.057,250120,4,0.818,68.0,Purple,250.12
66,Mac Miller,Swimming,Dunno,3YnwIp2b99p3e5dsFTXIIx,0.622,0.229,1,-11.322,1,0.0445,0.00906,0.134,0.0998,81.87,237093,4,0.768,67.0,Purple,237.093
67,Mac Miller,Swimming,2009,6dFn6my1sHK2bcf23GlHwM,0.533,0.496,6,-9.363,0,0.517,0.000164,0.0969,0.173,155.158,347987,4,0.77,70.0,Purple,347.987
68,Travis Scott,ASTROWORLD,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,0.46,0.686,0,-5.948,0,0.0367,0,0.375,0.252,148.054,145588,4,0.00146,72.0,Purple,145.588
69,Travis Scott,ASTROWORLD,WAKE UP,20MuVazoNMv6xjKPnRFOxG,0.741,0.645,11,-5.116,0,0.0963,0,0.163,0.488,149.07,231964,4,0.192,72.0,Purple,231.964
70,Travis Scott,ASTROWORLD,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,0,-6.571,1,0.0409,3.4e-06,0.116,0.144,128.047,150043,4,0.283,75.0,Purple,150.043
71,Kendrick Lamar,Section.80,Kush & Corinthians,705u4LfXcTBuDOB8UCy0A7,0.383,0.731,1,-5.996,1,0.201,0,0.504,0.306,176.781,304668,4,0.726,0.0,Purple,304.668
72,Bob Lind,Since There Were Circles,City Scenes,6Gr0crQrsAOncf3SXp5geN,0.511,0.655,6,-8.24,0,0.0308,0.000272,0.308,0.306,96.186,210320,4,0.24,11.0,Purple,210.32
73,Danger Mouse,Rome,Season's Trees (feat. Norah Jones),1EIvMRhClzMkbJHZAd1Aqa,0.543,0.66,10,-9.801,0,0.0273,0.0053,0.0936,0.715,78.507,191787,4,0.0797,37.0,Purple,191.787
74,Modern Cosmology,Summer Long,C'est Le Vent,2cF6VH3B2Zu47RJnK7mQso,0.25,0.495,7,-6.292,1,0.0285,0.263,0.114,0.0906,89.008,240452,5,0.746,2.0,Purple,240.452
75,Travis Scott,Rodeo (Expanded Edition),90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,0.402,0.526,9,-6.741,0,0.0904,8.33e-06,0.105,0.312,81.404,339067,4,0.113,77.0,Purple,339.067
76,Phantogram,Eyelid Movies,When I'm Small,3498wF96LsgVgMkGmJzJOC,0.646,0.758,10,-4.34,1,0.0314,0.097,0.103,0.424,91.998,249067,4,0.191,0.0,Purple,249.067
77,Earth Opera,Earth Opera,The Red Sox Are Winning,1LTUZ3AoiqYrmDgswQUz4K,0.493,0.442,5,-8.877,1,0.0817,0,0.0837,0.331,84.499,211760,4,0.527,9.0,Purple,211.76
78,The New Dawn,There's a New Dawn,Last Morning,46tGlNemSsgPzOAibTVzL2,0.65,0.414,4,-15.329,0,0.0378,0.00363,0.0667,0.621,115.608,219400,4,0.0218,11.0,Purple,219.4
79,Mac DeMarco,Salad Days,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,0.537,0.558,11,-8.678,1,0.0929,0.91,0.102,0.505,131.037,231724,4,0.263,46.0,Purple,231.724
80,Mac DeMarco,Another One,A Heart Like Hers,3dAAlzhQiEywGIQ1ULDKNE,0.56,0.381,1,-8.503,1,0.0291,0.000154,0.125,0.557,147.432,241861,4,0.801,22.0,Purple,241.861
81,Noname,Room 25,Prayer Song,50yYKk1o3W8Tp7skWT2AKv,0.786,0.56,9,-8.841,0,0.143,1.53e-05,0.085,0.522,112.357,257899,4,0.68,0.0,Purple,257.899
82,Noname,Room 25,Window,2wTGE01CrlTOH4naE9OGCE,0.337,0.572,1,-9.468,1,0.122,0.00178,0.472,0.413,173.832,278124,4,0.743,0.0,Purple,278.124
83,Open Mike Eagle,Dark Comedy,Dark Comedy Morning Show (feat. Toy Light),3sxVEWDtMwY42OwoAQgM7h,0.367,0.676,8,-10.362,1,0.232,0.0664,0.13,0.443,100.01,203255,5,0.332,34.0,Purple,203.255
84,Glass Animals,How To Be A Human Being,Mama's Gun,5o4znEHwozOHIgHoWAllnr,0.46,0.314,6,-10.158,0,0.0267,4.03e-06,0.122,0.216,90.014,266747,4,0.699,58.0,Purple,266.747
85,BROCKHAMPTON,iridescence,FABRIC,5jQAnD4ISqs7v8FT7povMS,0.52,0.547,2,-10.422,0,0.214,0.0395,0.116,0.175,175.986,277840,4,0.132,42.0,Purple,277.84
86,Portugal. The Man,American Ghetto,Fantastic Pace,6Ue7Htw0qt53eSVhT617ye,0.453,0.731,7,-6.99,1,0.085,0.00169,0.0943,0.386,132.014,222627,4,0.165,0.0,Purple,222.627
87,Portugal. The Man,American Ghetto,All My People,66sOuD03tZc1yxGhEtL0QX,0.468,0.801,11,-6.609,0,0.0585,0.735,0.149,0.646,180.098,192453,4,0.149,0.0,Purple,192.453
88,Glass Animals,How To Be A Human Being,Poplar St,3ApAsbQP7d5GlFwwdExaTY,0.575,0.446,4,-7.802,0,0.0296,0.00567,0.137,0.259,68.985,262540,4,0.247,61.0,Purple,262.54
89,Bob Lind,Since There Were Circles,Colorado Line,0HEG6rtalyYv0jRAUW36rO,0.456,0.773,7,-8.64,1,0.0749,0.0054,0.0491,0.782,171.752,200693,4,0.132,7.0,Purple,200.693
90,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),Boredom (feat. Rex Orange County & Anna of the North),4k2ix82xyGax7S8u6ODb6B,0.559,0.578,8,-9.54,1,0.151,0.000522,0.324,0.239,79.938,320720,4,0.79,44.0,Purple,320.72
91,Open Mike Eagle,Brick Body Kids Still Daydream,Brick Body Complex,7tlGq6EAEIWsv7srZWc5f7,0.683,0.625,11,-6.396,0,0.0454,2.44e-06,0.81,0.23,136.18,247553,4,0.134,29.0,Purple,247.553
92,BROCKHAMPTON,SATURATION,CASH,0yvxop3XdQyWStwvuYP4dw,0.611,0.795,0,-8.59,0,0.0485,0.0313,0.321,0.396,75.015,195200,4,0.184,42.0,Purple,195.2
93,Sylvan Esso,Sylvan Esso,Coffee,71cUqXJ3h1r0Ees6YdENLU,0.457,0.455,0,-8.112,1,0.188,0.00122,0.142,0.163,100.049,269693,4,0.348,4.0,Purple,269.693
94,Pink Floyd,The Wall,Comfortably Numb,5HNCy40Ni5BZJFw1TKzRsC,0.472,0.366,11,-12.595,0,0.0286,0.312,0.0837,0.171,127.163,382297,4,0.15,73.0,Purple,382.297
95,The Neighbourhood,Wiped Out!,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,1,0.0329,0.149,0.123,0.337,85.012,260173,4,0.0678,87.0,Purple,260.173
96,The Neighbourhood,Wiped Out!,Greetings from Califournia,6PS9AdyOKTPwlDPfLzJ7Ow,0.488,0.725,5,-7.692,0,0.0513,2.33e-06,0.661,0.309,81.235,244040,4,0.178,59.0,Purple,244.04
97,Pell,Floating While Dreaming,Eleven:11,6vsFAKxQFpX0sX4tYmS3LN,0.491,0.587,10,-8.345,0,0.0578,3.37e-05,0.0904,0.152,124.939,245773,4,0.0354,39.0,Purple,245.773
98,Tame Impala,Lonerism,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,0.303,0.9,2,-2.352,0,0.0574,0.635,0.11,0.491,149.508,192960,4,0.0277,76.0,Purple,192.96
99,The Neighbourhood,I Love You.,Flawless,2Kt1XplPBQBsDKQDa6TssB,0.568,0.871,0,-3.453,1,0.0308,0.51,0.303,0.374,119.99,246493,4,0.0553,68.0,Purple,246.493
