,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
17,Dominic Fike,What Could Possibly Go Wrong,Why,1xLs8Mu1QEVbGCpyHQ2r2U,0.684,0.856,6,-2.676,1,0.0411,0.00728,0.109,0.343,117.027,139907,4,67.0,my life is a movie
18,Yoke Lore,Goodpain,Beige,0FfZudphGgQTGeEV6AhmOs,0.434,0.677,10,-7.535,1,0.119,0.0684,0.119,0.218,167.927,204209,4,22.0,my life is a movie
19,Steve Lacy,Dark Red,Dark Red,37y7iDayfwm3WXn5BiAoRk,0.603,0.783,6,-4.023,1,0.062,7.96e-06,0.119,0.775,172.041,173104,4,89.0,my life is a movie
20,Rook Monroe,Honey,Honey,658qcSLPvoU4IZJhjxPHRo,0.702,0.709,9,-6.35,1,0.0517,1.68e-05,0.232,0.391,114.939,148696,4,55.0,my life is a movie
21,Cage The Elephant,Melophobia,Cigarette Daydreams,7q2vQa5a1LCqEbssxR1QXF,0.637,0.676,2,-3.427,1,0.0262,0.0,0.0819,0.275,113.94,208766,4,0.0,my life is a movie
22,Jamws,Toronto,Toronto,7gM7OSSKozedhoigEvPaQ7,0.658,0.479,0,-8.048,1,0.0248,0.00509,0.124,0.626,86.504,253687,4,53.0,my life is a movie
23,Matt Maeson,Hallucinogenics (feat. Lana Del Rey),Hallucinogenics (feat. Lana Del Rey),4A8pBxx0of2Y8r56dT0atf,0.59,0.597,0,-7.183,1,0.0527,0.0,0.175,0.313,121.843,186627,4,64.0,my life is a movie
24,Samia,Show Up,Show Up,1p17XN8yqoY5LHEG0Inqam,0.538,0.431,0,-8.732,1,0.0288,1.53e-05,0.11,0.286,82.976,201053,4,54.0,my life is a movie
25,Dr. Dog,"Shame, Shame (Deluxe Edition)",Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.000969,0.115,0.575,166.303,234800,4,78.0,my life is a movie
26,Still Woozy,Kenny,Kenny,6FmnMoph4yx7zjhuBcrHDv,0.743,0.49,1,-10.845,1,0.0377,0.0393,0.108,0.394,120.028,194133,4,63.0,my life is a movie
27,Declan McKenna,What Do You Think About the Car?,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,4,-5.213,1,0.0287,1.27e-05,0.0898,0.665,121.079,252307,4,72.0,my life is a movie
28,Jack Larsen,Mildew,Bubba,0qOe0oNsO7459dYDAlomiV,0.285,0.539,4,-8.305,1,0.0273,0.00342,0.0995,0.0466,170.007,300430,4,47.0,my life is a movie
29,Patrick Watson,Je te laisserai des mots,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,0.303,0.187,2,-16.757,1,0.0356,0.489,0.101,0.213,132.731,160853,4,84.0,my life is a movie
30,Billie Eilish,Happier Than Ever,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.00349,0.128,0.297,81.055,298899,3,93.0,my life is a movie
31,Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,2.32e-05,0.273,0.64,120.023,178000,4,82.0,my life is a movie
32,Blondes,Coming of Age,Coming of Age,3x5VSETP4fRjK2MoZfyVlE,0.492,0.775,2,-13.595,1,0.0322,0.726,0.203,0.533,149.085,251436,4,0.0,my life is a movie
33,New West,Next to You,Next to You,6KCwPQApuQNQEV0hw93duq,0.373,0.644,9,-6.032,1,0.0277,0.0,0.387,0.436,172.045,232326,4,6.0,my life is a movie
34,Tal Bachman,Tal Bachman,She's so High,7mnGQesk1TzQLzQ9bYWZPR,0.537,0.84,9,-4.626,1,0.0363,2.15e-06,0.0998,0.211,124.269,224693,4,71.0,my life is a movie
35,BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00137,0.26,0.518,120.041,218107,4,84.0,my life is a movie
36,Celeste,Not Your Muse (Deluxe),Strange,7sq2z9oX2S0CvgTqCZ0ko4,0.286,0.0847,2,-9.883,1,0.0397,6.94e-06,0.121,0.112,70.743,255987,4,76.0,my life is a movie
37,Lorde,Stoned at the Nail Salon,Stoned at the Nail Salon,6oAa31g091sMNe1TKo5LBS,0.466,0.113,2,-13.325,1,0.0414,7.53e-05,0.0986,0.104,125.369,266432,4,44.0,my life is a movie
38,renforshort,"fuck, i luv my friends","fuck, i luv my friends",4hk4plGoAmg3naYTq8EUul,0.443,0.551,4,-5.667,1,0.026,0.0,0.334,0.683,168.099,163852,4,58.0,my life is a movie
39,Billy Joel,The Stranger (Legacy Edition),Vienna,4U45aEWtQhrm8A5mxPaFZ7,0.532,0.495,10,-6.662,1,0.0343,0.0,0.0754,0.308,124.936,214240,4,74.0,my life is a movie
40,John Vincent III,Songs from the Valley,Next to You,3MwHZDGwAR8RjZZBriBqmx,0.443,0.419,7,-7.975,1,0.0321,0.00183,0.404,0.0719,132.204,256520,4,73.0,my life is a movie
41,Jack Gray,I Got 3,I Got 3,2R68N68VJzuZhXgikT6hQg,0.78,0.712,3,-7.883,1,0.0387,0.0,0.275,0.838,121.029,194268,4,56.0,my life is a movie
42,Ryan Beatty,Dreaming of David,Evergreen,6YtylNU7D1S5SeO529q2AN,0.586,0.563,10,-8.366,1,0.054,0.000687,0.113,0.283,82.791,224347,4,54.0,my life is a movie
43,ROLE MODEL,our little angel - EP,alive,2CRs8EpAcyaEGounRabYQI,0.541,0.668,6,-5.445,0,0.0333,3.16e-05,0.402,0.301,158.094,182880,4,52.0,my life is a movie
44,The Killers,Hot Fuss,All These Things That I've Done,0kYUrLVQOfx21xuXu7OGrT,0.557,0.728,6,-6.181,1,0.0405,5.13e-06,0.118,0.216,118.241,301573,4,64.0,my life is a movie
45,girlhouse,concussion,concussion,1h1w9olosnfBLzkRGsceCe,0.554,0.477,11,-8.335,1,0.0247,0.00552,0.0944,0.195,167.973,277143,4,56.0,my life is a movie
46,AJR,The Click,The Good Part,5cBLBXhU9sf6kGvb2Dv2cl,0.491,0.48,2,-3.568,0,0.0287,3.2e-05,0.382,0.552,92.919,227267,4,66.0,my life is a movie
47,Sjowgren,I Don't Know,I Don't Know,56PgQIFxAvXcEtXNYrsB0w,0.673,0.739,1,-7.529,1,0.0266,0.0162,0.371,0.961,111.968,195045,4,60.0,my life is a movie
48,Daulton Hopkins,I'm Okay and So Are You,I'm Okay and So Are You,7MHfxkcirk7bNH8joJ4BMr,0.657,0.822,9,-7.462,1,0.0378,0.0,0.0636,0.567,121.988,255403,4,49.0,my life is a movie
49,Adam Melchor,Hold On For Dear Life,Hold On For Dear Life,2qQvRQWSdIzyFK0Uvxh3V1,0.494,0.791,7,-4.067,1,0.0373,0.0,0.265,0.367,123.997,227118,4,56.0,my life is a movie
50,Holly Humberstone,Deep End,Deep End,3DXEbjIftmPeBj638CxyJD,0.368,0.314,0,-8.491,1,0.0316,1.69e-06,0.126,0.371,109.143,171663,4,62.0,my life is a movie
51,dad sports,out 4 a breather,out 4 a breather,73aXl4EIbQsY8ufuopTAaZ,0.68,0.529,5,-7.139,1,0.0285,0.0146,0.137,0.69,127.022,201857,4,0.0,my life is a movie
52,TOLEDO,Sunday Funday,Sunday Funday,0pAyXGUIrNm2oISrdAzbsw,0.429,0.699,8,-8.436,1,0.0404,0.291,0.126,0.686,82.971,256630,4,0.0,my life is a movie
53,Mac Miller,K.I.D.S.,The Spins,51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0,0.0377,0.0,0.0785,0.55,127.007,195873,4,82.0,my life is a movie
54,Wallows,Trust Fall / Just Like A Movie,Just Like A Movie,0Jgbauc8Nv2OOjR5ERW28B,0.449,0.825,11,-5.177,1,0.037,0.0,0.208,0.223,135.934,247613,4,61.0,my life is a movie
55,Harry Styles,Fine Line,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4,-5.257,0,0.0557,0.000131,0.131,0.254,139.863,208907,4,84.0,my life is a movie
56,Colony House,Only The Lonely,You Know It,169pWCmfvVazzcL4EXFPgL,0.404,0.962,3,-2.901,1,0.0978,0.0,0.146,0.572,158.121,182267,4,68.0,my life is a movie
57,boylife,peas,peas,6DXRUAHQTwJuCXuhXyRU53,0.249,0.342,4,-10.283,1,0.0389,0.0113,0.16,0.126,64.335,234645,5,57.0,my life is a movie
58,Olivia Rodrigo,deja vu,deja vu,0pxSWLTNNDqVfCttX1iodN,0.447,0.608,2,-7.294,1,0.103,9.44e-06,0.436,0.169,180.558,215508,4,13.0,my life is a movie
59,Phoebe Bridgers,Garden Song,Garden Song,1LTWcRVy9o96Zzn29wXLsa,0.371,0.256,0,-16.7,1,0.227,0.00507,0.112,0.171,195.674,220065,4,28.0,my life is a movie
60,Adam Melchor,Begin Again,Begin Again,2p7YemMTF5HRnAeL139VxD,0.494,0.791,7,-5.371,1,0.0376,0.0159,0.582,0.58,94.96,226408,4,49.0,my life is a movie
61,young friend,PINCH ME,PINCH ME,1VkM4OtAnNtJa6XBT3SHR6,0.777,0.465,6,-10.55,0,0.0501,0.0,0.0932,0.757,113.003,179363,4,58.0,my life is a movie
62,Clairo,Immunity,Bags,6UFivO2zqqPFPoQYsEMuCc,0.742,0.546,1,-7.694,1,0.0315,0.38,0.115,0.868,104.996,260520,4,71.0,my life is a movie
63,Taylor Swift,Speak Now,Enchanted,10eBRyImhfqVvkiVEGf0N0,0.455,0.623,8,-3.878,1,0.0288,0.000424,0.146,0.208,163.893,352187,4,79.0,my life is a movie
64,Her's,Songs of Her's,What Once Was,1XrSjpNe49IiygZfzb74pk,0.526,0.877,3,-4.369,0,0.033,0.0108,0.223,0.436,145.568,255067,3,74.0,my life is a movie
65,Lucy Dacus,Hot & Heavy,Hot & Heavy,2HqJI083DX9UDxNYGGAImf,0.551,0.78,0,-6.659,1,0.055,1.15e-06,0.11,0.421,135.023,250613,4,52.0,my life is a movie
66,Lizzy McAlpine,Give Me A Minute,To the Mountains,2CK9xYMVdmJMPKZyArVbt4,0.461,0.147,4,-14.022,1,0.033,0.000638,0.0846,0.267,78.809,193800,1,63.0,my life is a movie
67,fanclubwallet,Car Crash in G Major,Car Crash in G Major,3zt5zKBpsliBi0aDldNBsX,0.709,0.517,7,-8.077,1,0.0335,0.118,0.484,0.429,105.369,132000,4,0.0,my life is a movie
68,Delacey,The Subway Song,The Subway Song,3MIMKvXfK4bqkJ2wteG5Jq,0.58,0.662,0,-6.208,1,0.0594,0.000139,0.138,0.403,108.048,241854,4,0.0,my life is a movie
69,Goth Babe,Casita,Casita,3HjAGIYYXG7PS7OegQa0xM,0.647,0.748,11,-8.674,0,0.349,1.36e-06,0.12,0.523,120.057,206000,4,60.0,my life is a movie
70,Wallows,I Don't Want to Talk,I Don't Want to Talk,1KO4aiGkvF1eMTBrzL4vAd,0.461,0.908,7,-3.222,1,0.0768,1.4e-06,0.31,0.637,162.04,223533,4,67.0,my life is a movie
71,Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.0,0.161,0.371,112.96,218013,4,81.0,my life is a movie
72,girlhouse,the fatalist,the fatalist,4tjU3FbweegHC4T3taQ7RI,0.56,0.505,7,-11.878,1,0.0274,0.195,0.108,0.17,104.008,267692,4,41.0,my life is a movie
73,remy,leading me on but i'm not mad about it,leading me on but i'm not mad about it,1DSP945TwqdRaTciHHTVq1,0.826,0.595,1,-7.491,1,0.0409,0.00338,0.112,0.484,98.01,174031,4,56.0,my life is a movie
74,Vampire Weekend,Vampire Weekend,Campus,1eNrlXlW7Cj1QB1YUcZmpb,0.639,0.704,7,-5.818,1,0.0659,0.0872,0.0849,0.645,162.983,176467,4,65.0,my life is a movie
