,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
50,Cheers Elephant,Suitcase,Suitcase,6SpdkXxxEdnCeDRNoS0A06,0.623,0.854,1,-5.219,1,0.0419,0.00321,0.122,0.763,89.995,237736,4,10.0,Green
51,Dispatch,"America, Location 12",Midnight Lorry,0OoODSk0hu4WWmi3yKbRP3,0.497,0.638,0,-6.564,1,0.0316,0.00249,0.133,0.569,82.285,339360,4,54.0,Green
52,Dispatch,"America, Location 12",Begin Again,4vDivBSeIfKym60ddu80DT,0.63,0.432,11,-9.776,0,0.0404,0.000551,0.148,0.541,124.197,173880,4,29.0,Green
53,Dispatch,"America, Location 12",Atticus Cobain,3y1o7EO6GR71sIXpZ2FdDK,0.588,0.796,11,-4.865,1,0.0424,0,0.261,0.784,93.957,228773,4,29.0,Green
54,Dispatch,Only the Wild Ones,Only the Wild Ones,2acbW2I3x82OmRfKdV4hZq,0.492,0.7,8,-7.001,1,0.0437,0.00013,0.0996,0.605,110.741,253165,4,0.0,Green
55,Dispatch,Silent Steeples,Flying Horses,5bO5xc5BHe1aTsaqyRZLNU,0.465,0.74,4,-6.295,0,0.0791,0,0.0853,0.644,112.193,323613,4,43.0,Green
56,Donnie Trumpet & The Social Experiment,Surf,Familiar,6byH2KwTyfq76lucjvwX2I,0.804,0.387,11,-9.56,1,0.255,0,0.0527,0.584,104.065,233618,4,42.0,Green
57,EARTHGANG,Robots,Robots,62bvu8hO9tPS0DQ3WzYYwp,0.684,0.617,8,-8.004,1,0.317,0,0.052,0.721,145.928,249156,4,32.0,Green
58,Fleece,Voyager,On My Mind,0DbMOz6MrPJ9nfYXgGarLw,0.737,0.445,0,-7.485,1,0.0471,0.000912,0.102,0.87,130.222,139633,4,0.0,Green
59,Glass Animals,How To Be A Human Being,Youth,1LPGwuFgIzbJoShfDdw7MY,0.648,0.718,9,-7.765,0,0.0298,0.00156,0.112,0.785,96.017,230693,4,68.0,Green
60,The Greeting Committee,It’s Not All That Bad,Hands Down,0dqJjKKxuKD5Dt3QH2n4CG,0.426,0.634,4,-7.116,1,0.0341,0.00356,0.222,0.284,98.925,257693,4,58.0,Green
61,J. Cole,2014 Forest Hills Drive,Apparently,1HNs07uZxZniPNmniw2GTa,0.8,0.543,5,-9.236,1,0.0911,0,0.116,0.534,133.98,293040,4,69.0,Green
62,Jdam,Stupid Karma,Stupid Karma,3d2JSZa5RGiGYHzl1CjzeN,0.852,0.368,5,-9.681,0,0.064,0,0.0735,0.738,139.98,213603,4,29.0,Green
63,Joey Bada$$,ALL-AMERIKKKAN BADA$$,TEMPTATION,2UmGLsZjIXYB2FFKIO79s9,0.775,0.707,10,-5.339,0,0.151,0,0.873,0.78,104.979,244198,4,0.0,Green
64,Joey Bada$$,Brooklyn's Own,Brooklyn's Own,0IZurWvFvqoFBD9h6KR1vB,0.731,0.815,7,-4.72,1,0.296,0,0.225,0.495,93.607,219530,4,0.0,Green
65,Kaiydo,Fruit Punch,Fruit Punch,0lpRp9KzzMbC0w1uiL7H7f,0.8,0.586,0,-7.344,1,0.176,0,0.074,0.749,104.002,221623,4,52.0,Green
66,Kendrick Lamar,To Pimp A Butterfly,Complexion (A Zulu Love),72hFOhhhnOJZnnp6uVOgPn,0.665,0.558,2,-7.863,0,0.303,4.57e-06,0.219,0.37,89.953,263360,4,57.0,Green
67,Khalid,American Teen,Location,152lZdxL1OR0ZMW6KquMif,0.736,0.449,1,-11.462,0,0.425,0.000162,0.0898,0.326,80.126,219080,4,79.0,Green
68,KYLE,iSpy,iSpy,0WjYgf4qH3B0v0HmW61doL,0.746,0.653,7,-6.745,1,0.289,0,0.229,0.672,75.016,253107,4,0.0,Green
69,Childish Gambino,Because The Internet,3005,3Z2sglqDj1rDRMF5x0Sz2R,0.473,0.461,6,-6.474,0,0.333,0,0.0973,0.615,165.985,234213,4,0.0,Green
70,Bas,Boca Raton (with A$AP Ferg),Boca Raton (with A$AP Ferg),6WNrh21Eeq2pQMW9EgO5PA,0.903,0.625,10,-7.025,0,0.219,1.78e-05,0.215,0.399,129.993,196760,4,0.0,Green
71,Mac DeMarco,2,Ode to Viceroy,601KiLiZtBJRTXBrTjeieP,0.514,0.632,2,-6.305,1,0.0501,0.0132,0.115,0.31,94.569,233818,4,32.0,Green
72,Dispatch,Black Land Prairie,Black Land Prairie,7nHAoJdknKLdMK9Sp7o6pD,0.498,0.652,0,-6.093,1,0.0288,0.0335,0.0837,0.178,82.961,258171,4,0.0,Green
73,Mac Miller,The Divine Feminine,Cinderella (feat. Ty Dolla $ign),2lpygKqzPFtItQ4ss3cgfb,0.545,0.534,8,-6.874,0,0.047,0,0.345,0.24,140.021,480187,4,67.0,Green
74,STRFKR,Starfucker,Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,0.9,0.538,7,-7.879,1,0.0343,0.843,0.287,0.713,95.508,173693,4,67.0,Green
75,Phony Ppl,Yesterday's Tomorrow,Why iii Love The Moon.,2x5Frs6ts14U4MSLrQQlXg,0.706,0.483,1,-7.929,1,0.0393,1.94e-06,0.136,0.663,92.002,331827,4,64.0,Green
76,Noname,Room 25,Self,2wUnFLr2k5491Pv4cUYd83,0.808,0.541,3,-6.525,1,0.252,0.000977,0.142,0.811,92.132,94933,4,0.0,Green
77,Mac DeMarco,2,Cooking Up Something Good,5CqmSwn8D1DuleBV1fOiCG,0.751,0.442,0,-7.551,1,0.0313,0.00141,0.123,0.851,98.071,161043,3,25.0,Green
78,Noname,Room 25,Montego Bae,1g2mY3SYKNI90COS9x8dgB,0.59,0.554,5,-10.872,0,0.0858,0.177,0.0827,0.69,151.936,163616,4,0.0,Green
79,Kooley High,Presents...David Thompson,Dear Raleigh,0siQP9KiIRRrgvlDJQG7Us,0.587,0.799,7,-6.271,1,0.158,0,0.329,0.649,85.884,275907,4,32.0,Green
80,Dispatch,Location 13,Cross the World,6sn4BdTIIDRJguMuTXg4T4,0.635,0.714,5,-5.533,1,0.0714,0,0.0974,0.544,77.127,237568,4,0.0,Green
81,The O'My's,"Bout a Dolla (feat. Chuck Inglish, Chance the Rapper, Chip tha Ripper & Twista)","Bout a Dolla (feat. Chuck Inglish, Chance the Rapper, Chip tha Ripper & Twista)",6QLohX5uCc2NC5LGTRnmDT,0.743,0.617,7,-7.829,1,0.186,7.47e-06,0.33,0.56,90.046,290168,4,37.0,Green
82,Lightheaded,Pure Thoughts,Completion,0DqRjRhT2tnSdKCMFtJeea,0.765,0.723,4,-7.174,0,0.31,9.12e-06,0.054,0.735,89.602,204013,4,10.0,Green
83,Fleece,Voyager,Under the Light,6HBSSVm0X3z178D6FaXj9d,0.455,0.579,5,-8.172,1,0.0307,0.555,0.0925,0.495,140.015,285655,4,0.0,Green
84,Jungle,For Ever,Casio,33wUd3GgaRf2rux2aJ71yb,0.816,0.492,10,-7.464,0,0.0752,0.0899,0.0995,0.766,115.989,234370,4,1.0,Green
85,Psychedelic Porn Crumpets,"High Visceral, Pt. 1",Denmark / Van Gogh & Gone,7sP57RtB31LWReHyQ02RxX,0.397,0.432,5,-7.747,1,0.0291,0.417,0.11,0.0439,134.886,449347,4,46.0,Green
86,Saba,CARE FOR ME,BUSY / SIRENS,4YdRnTnXYwgI48kkzWy6uk,0.667,0.465,1,-10.337,1,0.344,0,0.101,0.474,133.832,329542,4,59.0,Green
87,Anderson .Paak,Oxnard,Headlow (feat. Norelle),0L38hbPRV0C4x6CH7WZe1W,0.751,0.724,1,-8.053,0,0.0734,0.000141,0.208,0.509,100.044,250773,4,47.0,Green
88,Anderson .Paak,Oxnard,"Anywhere (feat. Snoop Dogg & The Last Artful, Dodgr)",4n02GblHZte3q5AzcLHlIK,0.768,0.686,7,-7.37,0,0.095,8.28e-05,0.155,0.778,79.031,226493,4,52.0,Green
89,JID,DiCaprio 2,Hot Box (feat. Method Man & Joey Bada$$),37FFOyjlneevUqyT1RWPVU,0.744,0.697,7,-8.068,1,0.368,0,0.0747,0.64,79.202,291808,4,0.0,Green
90,Portugal. The Man,Tidal Wave,Tidal Wave,07NAYx3UuWYtW7cAT6e8Rt,0.551,0.741,8,-4.245,1,0.029,0.00603,0.0707,0.399,79.984,211720,4,37.0,Green
91,Pepper,Kona Town,Stone Love,1AO26gK1sI6PoFY9eUF8yV,0.837,0.478,6,-5.861,0,0.0627,0.00129,0.0569,0.81,78.746,254800,4,60.0,Green
92,Pell,"In the Morning (feat. Stephen, Caleborate)","In The Morning (feat. Stephen, Caleborate)",4K1J4jNVi02rBWxTtTa4U1,0.553,0.616,2,-6.08,1,0.32,0,0.0773,0.324,81.608,206415,4,41.0,Green
93,Wilco,Yankee Hotel Foxtrot,"Jesus, Etc.",4wd09wCccmxUB7XVJp0RNn,0.756,0.28,5,-14.27,1,0.0296,0.00033,0.414,0.695,109.413,231000,4,66.0,Green
94,Smino,Kajun,Kajun,2CYDcunjh8q0F8wDEMW7F7,0.48,0.474,10,-8.119,1,0.602,0.000177,0.12,0.42,179.721,192187,4,30.0,Green
95,Noname,Song 31,Song 31,5jEHZAJlxIf6bK9LkKnRH0,0.583,0.527,11,-7.876,1,0.0733,6.7e-06,0.154,0.395,97.346,187036,4,0.0,Green
96,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,0,-6.547,1,0.274,0.000699,0.129,0.744,96.662,251573,4,70.0,Green
97,Hippo Campus,warm glow,baseball,5lO1htX1UPjwyItDLurhR5,0.602,0.915,9,-3.62,1,0.0541,0,0.0967,0.581,111.512,198107,4,58.0,Green
98,Still Woozy,Habit,Habit,1M321puDN1WBd5NF0ogOKW,0.766,0.402,1,-11.155,1,0.107,0.0007,0.106,0.466,125.107,153857,4,0.0,Green
99,Big Search,To Feel in Love,To Feel in Love,35NWDxnzlmxAJq4CfbQAL2,0.56,0.708,5,-6.476,1,0.0288,0.112,0.317,0.554,148.159,374000,4,34.0,Green
